2026-01-22 08:42:20.292 | INFO     | app.main:lifespan:33 | Apagando aplicación...
2026-01-22 08:42:38.980 | INFO     | app.main:lifespan:26 | Iniciando aplicación...
2026-01-22 08:42:38.981 | INFO     | app.main:lifespan:27 | Nombre: PDF Generation System
2026-01-22 08:42:38.982 | INFO     | app.main:lifespan:28 | Entorno: development
2026-01-22 08:59:48.687 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/login | IP: 127.0.0.1 | UA: Combinación de Correspondencia Automatizada/1.0.0
2026-01-22 08:59:48.699 | INFO     | app.api.v1.auth:login:36 | Intento de login desde IP: 127.0.0.1, User-Agent: Combinación de Correspondencia Automatizada/1.0.0
2026-01-22 08:59:48.701 | INFO     | app.auth:authenticate_user:87 | Intentando autenticar usuario: superadmin
2026-01-22 08:59:49.406 | INFO     | app.auth:authenticate_user:103 | Usuario autenticado exitosamente: superadmin
2026-01-22 08:59:49.653 | INFO     | app.auth:update_last_login:126 | Último login actualizado para usuario: superadmin
2026-01-22 08:59:49.704 | DEBUG    | app.auth:create_access_token:46 | Token de acceso creado para superadmin, expira: 2026-01-23 14:59:49.654922
2026-01-22 08:59:49.706 | DEBUG    | app.auth:create_refresh_token:60 | Token de refresh creado para superadmin, expira: 2026-01-29 14:59:49.705482
2026-01-22 08:59:49.706 | INFO     | app.api.v1.auth:login:62 | Login exitoso para usuario: superadmin
2026-01-22 08:59:49.714 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 1.028s
2026-01-22 08:59:49.720 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/auth/me | IP: 127.0.0.1 | UA: Combinación de Correspondencia Automatizada/1.0.0
2026-01-22 08:59:49.830 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.110s
2026-01-22 08:59:49.837 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/auth/me | IP: 127.0.0.1 | UA: Combinación de Correspondencia Automatizada/1.0.0
2026-01-22 08:59:50.036 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.200s
2026-01-22 08:59:50.259 | INFO     | app.main:log_requests:75 | Request: GET http://localhost:8000/api/v1/projects/?skip=0&limit=100 | IP: 127.0.0.1 | UA: Combinación de Correspondencia Automatizada/1.0.0
2026-01-22 08:59:50.393 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.135s
2026-01-22 09:00:28.893 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia Automatizada/1.0.0
2026-01-22 09:00:29.109 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.216s
2026-01-22 09:01:28.879 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia Automatizada/1.0.0
2026-01-22 09:01:28.982 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.103s
2026-01-22 09:02:28.927 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia Automatizada/1.0.0
2026-01-22 09:02:29.030 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.103s
2026-01-22 09:03:28.915 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia Automatizada/1.0.0
2026-01-22 09:03:29.031 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.116s
2026-01-22 09:04:28.913 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia Automatizada/1.0.0
2026-01-22 09:04:29.024 | INFO     | app.main:log_requests:84 | Response: 200 | Tiempo: 0.110s
2026-01-22 09:05:28.926 | INFO     | app.main:log_requests:75 | Request: POST http://localhost:8000/api/v1/auth/validate-token | IP: 127.0.0.1 | UA: Combinación de Correspondencia Automatizada/1.0.0
